% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, tw, tf
C15X50	15.0	3.72	0.716	0.650
C15X40	15.0	3.52	0.520	0.650
C15X33.9	15.0	3.40	0.400	0.650
C12X30	12.0	3.17	0.510	0.501
C12X25	12.0	3.05	0.387	0.501
C12X20.7	12.0	2.94	0.282	0.501
C10X30	10.0	3.03	0.673	0.436
C10X25	10.0	2.89	0.526	0.436
C10X20	10.0	2.74	0.379	0.436
C10X15.3	10.0	2.60	0.240	0.436
C9X20	9.00	2.65	0.448	0.413
C9X15	9.00	2.49	0.285	0.413
C9X13.4	9.00	2.43	0.233	0.413
C8X18.75	8.00	2.53	0.487	0.390
C8X13.75	8.00	2.34	0.303	0.390
C8X11.5	8.00	2.26	0.220	0.390
C7X14.75	7.00	2.30	0.419	0.366
C7X12.25	7.00	2.19	0.314	0.366
C7X9.8	7.00	2.09	0.210	0.366
C6X13	6.00	2.16	0.437	0.343
C6X10.5	6.00	2.03	0.314	0.343
C6X8.2	6.00	1.92	0.200	0.343
C5X9	5.00	1.89	0.325	0.320
C5X6.7	5.00	1.75	0.190	0.320
C4X7.25	4.00	1.72	0.321	0.296
C4X6.25	4.00	1.65	0.247	0.296
C4X5.4	4.00	1.58	0.184	0.296
C4X4.5	4.00	1.52	0.125	0.296
C3X6	3.00	1.60	0.356	0.273
C3X5	3.00	1.50	0.258	0.273
C3X4.1	3.00	1.41	0.170	0.273
C3X3.5	3.00	1.37	0.132	0.273


