% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, tw, tf
WT550X249.5	559	404	26.2	45.0
WT550X216.5	554	401	22.0	40.1
WT550X195	551	401	19.9	36.1
WT550X171.5	546	401	18.0	31.0
WT500X488	554	429	50.0	89.9
WT500X441.5	546	424	45.5	82.0
WT500X374	533	417	39.1	70.1
WT500X321	523	411	34.0	59.9
WT500X295.5	521	409	31.0	55.9
WT500X277	516	409	29.5	52.1
WT500X269.5	516	406	28.4	51.1
WT500X241.5	511	404	25.4	46.0
WT500X221.5	505	401	23.6	41.9
WT500X206	503	401	21.1	40.1
WT500X185.5	500	401	19.1	36.1
WT500X160.5	495	401	16.5	31.0
WT500X148	490	401	16.5	27.2
WT500X292	528	315	36.1	64.0
WT500X247	518	310	31.0	54.1
WT500X243	518	307	30.0	54.1
WT500X219	513	305	26.9	49.0
WT500X207.5	511	305	26.2	46.0
WT500X196.5	508	302	24.4	43.9
WT500X175	503	302	21.1	40.1
WT500X157	500	300	19.1	36.1
WT500X136	495	300	16.5	30.5
WT500X124.5	490	300	16.5	26.2
WT500X111	485	300	16.0	21.1
WT460X688.5	549	472	76.7	115
WT460X634.5	549	462	64.0	115
WT460X597	541	457	60.5	109
WT460X538.5	531	452	55.1	99.1
WT460X485	521	447	50.0	89.9
WT460X393.5	505	437	40.9	73.9
WT460X362.5	500	434	38.1	68.1
WT460X328	493	432	34.5	62.0
WT460X294	488	427	31.0	55.9
WT460X268.5	483	424	28.4	51.1
WT460X245.5	478	422	25.9	47.0
WT460X224.5	475	424	24.0	42.7
WT460X210	472	422	22.5	39.9
WT460X195	467	422	21.3	36.6
WT460X184	465	419	20.3	34.3
WT460X171.9	464	419	19.3	32.0
WT460X190.5	475	310	24.4	43.9
WT460X172.5	472	307	22.1	39.9
WT460X156.5	465	310	21.1	34.5
WT460X144.5	462	307	19.4	32.0
WT460X135.5	462	307	18.4	30.0
WT460X126.5	460	305	17.3	27.9
WT460X119	457	305	16.5	25.9
WT460X111.5	455	305	15.9	23.9
WT460X100.5	452	305	15.2	20.1
WT420X288	457	411	32.0	57.9
WT420X263.5	452	409	29.5	53.1
WT420X236.5	447	406	26.4	48.0
WT420X216.5	442	404	24.4	43.9
WT420X196	439	401	22.1	39.9
WT420X179.5	434	404	21.1	35.6
WT420X164.5	432	401	19.7	32.5
WT420X149.5	427	399	18.2	29.2
WT420X125.5	429	292	17.0	31.0
WT420X113	424	295	16.1	26.9
WT420X105	424	292	15.4	24.4
WT420X96.5	419	292	14.7	21.7
WT420X88	417	292	14.0	18.8
WT380X291	422	396	34.5	62.0
WT380X265.5	417	394	31.5	56.9
WT380X242	411	391	29.0	52.1
WT380X217	406	389	25.9	47.0
WT380X194.5	401	386	23.6	41.9
WT380X175	399	384	21.1	38.1
WT380X157	394	384	19.7	33.5
WT380X142	389	381	18.0	30.2
WT380X128.5	386	381	16.6	27.2
WT380X110	389	267	16.5	30.0
WT380X98	386	267	15.6	25.4
WT380X92.5	384	267	14.9	23.6
