% User defined database.  All values must be in the same units raised to the appropriate power.
% All databases are created when MASTAN2 starts.
% Shape  A  Izz  Iyy  J  Cw  Zzz  Zyy  Ayy  Azz
LLL5X5X7/8	8.02	17.8	17.8	2.07	3.53	9.31	9.3	4.375	4.375
L5X5X3/4	6.98	15.7	15.7	1.33	2.32	8.14	8.14	3.750	3.750
L5X5X5/8	5.9	13.6	13.6	0.792	1.4	6.93	6.92	3.125	3.125
L5X5X1/2	4.79	11.3	11.3	0.417	0.744	5.66	5.66	2.500	2.500
L5X5X7/16	4.22	10	10	0.284	0.508	5	5	2.188	2.188
L5X5X3/8	3.65	8.76	8.76	0.183	0.327	4.33	4.33	1.875	1.875
L5X5X5/16	3.07	7.44	7.44	0.108	0.193	3.65	3.65	1.563	1.563
L5X3-1/2X3/4	5.82	13.9	5.52	1.09	1.52	7.6	4.07	3.750	2.625
L5X3-1/2X5/8	4.93	12	4.8	0.651	0.918	6.5	3.43	3.125	2.188
L5X3-1/2X1/2	4	9.96	4.02	0.343	0.491	5.33	2.79	2.500	1.750
L5X3-1/2X3/8	3.05	7.75	3.15	0.15	0.217	4.09	2.12	1.875	1.313
L5X3-1/2X5/16	2.56	6.58	2.69	0.0883	0.128	3.45	1.77	1.563	1.094
L5X3-1/2X1/4	2.07	5.36	2.2	0.0464	0.067	2.78	1.42	1.250	0.875
L5X3X1/2	3.75	9.43	2.55	0.322	0.444	5.12	2.08	2.500	1.500
L5X3X7/16	3.31	8.41	2.29	0.22	0.304	4.53	1.82	2.188	1.313
L5X3X3/8	2.86	7.35	2.01	0.141	0.196	3.93	1.57	1.875	1.125
L5X3X5/16	2.41	6.24	1.72	0.0832	0.116	3.32	1.31	1.563	0.938
L5X3X1/4	1.94	5.09	1.41	0.0438	0.0606	2.68	1.05	1.250	0.750
